Tank,Coral,ID,Date,Tank,Snail,Trial type,Temp,Starting O2 umol L,Volume used,Finish O2,Blank slope,Wet weight,Snail length,Slope,Weighboat,Dry weight,Ash weight,AFDW,Respiration,Notes
Tank 8,Porites,R-5 A V,June 07,,Coralliophila,Fed,Ambient,245,247,222,-0.0545,6.5,2.45,-0.6498,0.8343,6.3515,5.9925,0.359,-0.4095796657,
Tank 2,Porites,R-6 A D,June 07,,Drupella,Fed,Ambient,245,247,233,-0.0811,2.2,2.11,-0.3759,0.8363,2.6795,2.5593,0.1202,-0.6057870216,
Tank 2,Porites,R-6 A V,June 07,,Coralliophila,Fed,Ambient,258,247,243,-0.0811,3.5,1.95,-0.3968,0.8342,3.9212,3.7375,0.1837,-0.4244850299,
Tank 2,Porites,R-7 A D,June 07,,Drupella,Fed,Ambient,249,248,237,-0.0811,2.5,2.25,-0.3635,0.8381,2.9251,2.7871,0.138,-0.5075014493,
Tank 2,Porites,R-7 A V,June 07,,Coralliophila,Fed,Ambient,257,246,241,-0.0811,5.8,2.4,-0.5199,0.8523,5.8399,5.5772,0.2627,-0.4109052151,
Tank 2,Porites,R-8  A V,June 07,,Coralliophila,Fed,Ambient,256,249,244,-0.0811,3.9,2.5,-0.3613,0.8383,4.3834,4.2113,0.1721,-0.4054026729,
Tank 2,Porites,R-8 A D,June 07,,Drupella,Fed,Ambient,250,246,233,-0.0811,4.1,2.1,-0.533,0.8329,4.1777,4.0072,0.1705,-0.6520082111,
Tank 2,Porites,R-9 A D,June 07,,Drupella,Fed,Ambient,252,250,245,-0.0811,1.7,1.98,-0.3171,0.8383,2.3292,2.2377,0.0915,-0.6448087432,
Tank 2,Porites,R-9 A V,June 07,,Coralliophila,Fed,Ambient,254,243,241,-0.0811,6.7,2.45,-0.3886,0.8375,6.7302,6.3441,0.3861,-0.1935314685,
Tank 8,Pocillopora,V-1 A D,June 06,8,Drupella,Fed,Ambient,244,248,231,-0.0907,3.3,2.55,-0.168,0.8296,3.4301,2.3774,1.0527,-0.0182106963,
Tank 8,Pocillopora,V-1 A V,June 06,8,Coralliophila,Fed,Ambient,241,246,224,-0.0907,6,2.5,-0.409,0.8375,6.0049,5.7617,0.2432,-0.3219646382,
Tank 2,Pocillopora,V-10 A D,May 27,2,Drupella,Fed,Ambient,236,247,219.6,-0.0506,3.4,2.3,-0.5566,0.8536,3.7158,3.5247,0.1911,-0.6540136054,
Tank 2,Pocillopora,V-10 A V,June 07,,Coralliophila,Fed,Ambient,242,245,230,-0.0811,3,1.9,-0.3185,0.8362,3.3654,3.2422,0.1232,-0.4721022727,
Tank 10,Pocillopora,V-11 A D,May 29,10,Drupella,Fed,Ambient,244,250,219,-0.0691,1.8,1.95,-0.3855,0.8295,2.3891,2.2623,0.1268,-0.6238170347,
Tank 10,Pocillopora,V-11 A V,June 07,,Coralliophila,Fed,Ambient,267,248,254,-0.1285,5.6,2.2,-0.4854,0.8388,5.4992,5.2611,0.2381,-0.3717396052,
Tank 10,Pocillopora,V-12 A D,May 29,10,Drupella,Fed,Ambient,247,248,232,-0.0691,2.8,2.35,-0.3334,0.8404,3.186,3.044,0.142,-0.4615943662,
Tank 10,Pocillopora,V-12 A V,May 30,10,Coralliophila,Fed,Ambient,219,249,209.2,-0.0875,4.9,2.2,-0.1949,0.8347,4.9322,4.7904,0.1418,-0.1885937941,
Tank 10,Pocillopora,V-13 A D,May 31,10,Drupella,Fed,Ambient,263,250,248.7,-0.0685,2.8,2.45,-0.4016,0.8332,3.0903,2.9198,0.1705,-0.4884164223,
Tank 10,Pocillopora,V-13 A V,May 31,10,Coralliophila,Fed,Ambient,243,246,229.8,-0.0685,6.8,2.5,-0.4207,0.8343,6.4728,6.1855,0.2873,-0.3015704838,
Tank 10,Pocillopora,V-14 A D,May 28,10,Drupella,Fed,Ambient,227,248,215.8,-0.0789,2.8,2.15,-0.1357,0.8371,3.1825,3.1011,0.0814,-0.1730515971,Might have been dead
Tank 10,Pocillopora,V-14 A V,May 27,10,Coralliophila,Fed,Ambient,213,245,200.5,-0.0474,8.3,3.1,-0.4279,0.8537,7.3146,7.0932,0.2214,-0.4210591689,
Tank 10,Pocillopora,V-15 A D,May 27,10,Drupella,Fed,Ambient,214.9,249,198.8,-0.0474,3.1,2.3,-0.5245,0.8599,3.5357,3.3122,0.2235,-0.5315342282,
Tank 8,Pocillopora,V-2 A D,May 29,8,Drupella,Fed,Ambient,216,246,200,-0.0245,2,2.1,-0.4403,0.8369,2.5094,2.3835,0.1259,-0.8124447975,
Tank 8,Pocillopora,V-2 A V,June 06,8,Coralliophila,Fed,Ambient,242,244,229,-0.0907,5.6,2.2,-0.4508,0.8346,5.4704,5.2962,0.1742,-0.5043880597,
Tank 8,Pocillopora,V-3 A D,May 28,8,Drupella,Fed,Ambient,207,249,193.1,-0.0281,1.4,1.8,-0.3795,0.8391,2.0056,1.9072,0.0984,-0.8892134146,
Tank 8,Pocillopora,V-3 A V,June 06,8,Coralliophila,Fed,Ambient,241,248,225,-0.0907,4,2.1,-0.307,0.8311,4.2018,4.066,0.1358,-0.3950103093,
Tank 8,Pocillopora,V-4 A D,May 28,8,Drupella,Fed,Ambient,207,249,193,-0.0281,1.6,2.05,-0.272,0.8511,2.1608,2.0313,0.1295,-0.4689660232,
Tank 8,Pocillopora,V-4 A V,June 06,8,Coralliophila,Fed,Ambient,240,246,220,-0.0907,6,2.21,-0.4702,0.8431,5.7969,5.5613,0.2356,-0.3962521222,
Tank 2,Pocillopora,V-7 A D,May 27,2,Drupella,Fed,Ambient,240,248,221.2,-0.0506,3.5,2.6,-0.5695,0.8586,3.9452,3.6355,0.3097,-0.4155221182,
Tank 2,Pocillopora,V-7 A V,June 07,,Coralliophila,Fed,Ambient,236,245,223,-0.0811,4.8,2.4,-0.1622,0.8389,4.6979,4.4378,0.2601,-0.0763917724,Weird slope
Tank 2,Pocillopora,V-9 A D,May 29,2,Drupella,Fed,Ambient,239.8,250,226.6,-0.0192,2.6,2.35,-0.4652,0.8356,3.0453,2.8655,0.1798,-0.6201334816,
Tank 2,Pocillopora,V-9 A V,June 07,,Coralliophila,Fed,Ambient,235,247,216,-0.0811,6.8,2.65,-0.5568,0.835,6.3619,6.0502,0.3117,-0.3769582932,
Tank 7,,1-dh,May 25,7,Drupella,Unfed,Heated,203.2,247,178.1,-0.0192,1.5,2,-0.6867,0.8497,2.1628,1.9952,0.1676,-0.9837261337,
Tank 7,,1-vh,May 25,7,Coralliophila,Unfed,Heated,195.5,244,176.4,-0.0192,6.5,2.27,-0.6278,0.8531,10.0297,9.2429,0.7868,-0.1887371632,
Tank 7,,2-dh,May 25,7,Drupella,Unfed,Heated,193.4,247,179.5,-0.0192,2.7,2.22,-0.5422,0.8472,3.2485,2.8886,0.3599,-0.3589358155,
Tank 7,,2-vh,May 25,7,Coralliophila,Unfed,Heated,193,246,179.5,-0.0192,5.4,2.4,-0.4519,0.8631,5.653,4.9932,0.6598,-0.1613279782,
Tank 7,,3-dh,May 25,7,Drupella,Unfed,Heated,194.2,245,180.3,-0.0192,1.8,2.05,-0.4198,0.8469,2.364,2.301,0.063,-1.557888889,
Tank 7,,3-vh,May 25,7,Coralliophila,Unfed,Heated,194.7,245,176.2,-0.0192,5.5,2.48,-0.4973,0.8542,5.8991,5.2396,0.6595,-0.177611069,
Tank 7,,4-dh,May 25,7,Drupella,Unfed,Heated,197,247,183.5,-0.0192,1.5,1.98,-0.3991,0.8378,2.1357,1.9786,0.1571,-0.5972966264,
Tank 7,,4-vh,May 25,7,Coralliophila,Unfed,Heated,196.4,245,176.5,-0.0192,7.2,1.6,-0.7679,0.8412,7.634,7.0507,0.5833,-0.3144719698,
Tank 7,,5-dh,May 25,7,Drupella,Unfed,Heated,198.1,246,184.5,-0.0192,1.8,2,-0.451,0.8415,2.2888,2.1543,0.1345,-0.7897605948,
Tank 7,,5-vh,May 25,7,Coralliophila,Unfed,Heated,198,241,180.2,-0.0192,10.3,2.78,-0.7387,0.8323,6.6258,6.2109,0.4149,-0.4179308267,
Tank 7,,6-dh,May 25,7,Drupella,Unfed,Heated,200.2,248,187.3,-0.0192,2,2.12,-0.5208,0.8646,2.5721,2.4157,0.1564,-0.7953759591,
Tank 7,,6-vh,May 25,7,Coralliophila,Unfed,Heated,205.4,246,188,-0.0192,4.8,2.08,-0.4573,0.857,5.2876,4.879,0.4086,-0.2637606461,
Tank 6,Porites,R-1 H D,June 06,6,Drupella,Fed,Heated,217,249,204,-0.048,2.9,2.1,-0.3232,0.8286,2.5899,2.4888,0.1011,-0.6777922849,
Tank 6,Porites,R-1 H V,June 06,6,Coralliophila,Fed,Heated,232,244,218.8,-0.048,4.9,2.5,-0.4561,0.8381,5.3395,5.1005,0.239,-0.4166376569,
Tank 7,Porites,R-10 H D,June 06,7,Drupella,Fed,Heated,247,250,236,-0.0064,1.9,2.05,-0.3056,0.8303,2.5361,2.4411,0.0950,-0.7873684211,
Tank 7,Porites,R-10 H V,June 06,7,Coralliophila,Fed,Heated,237,248,247,-0.0064,5.3,2.25,-0.4017,0.8349,5.4403,5.1876,0.2527,-0.3879477641,
Tank 11,Porites,R-11 H D,June 06,11,Drupella,Fed,Heated,245,252,230,-0.0807,2.1,1.91,-0.3168,0.8293,2.5645,2.4641,0.1004,-0.5926015936,
Tank 11,Porites,R-11 H V,June 06,11,Coralliophila,Fed,Heated,242,246,224,-0.0807,3.2,1.9,-0.214,0.8272,3.4425,3.3807,0.0618,-0.5306116505,
Tank 11,Porites,R-12 H D,June 06,11,Drupella,Fed,Heated,242,250,228,-0.0807,3.3,2.5,-0.4588,0.8392,3.5606,3.3916,0.169,-0.5593195266,
Tank 11,Porites,R-12 H V,June 06,11,Coralliophila,Fed,Heated,235,247,218,-0.0807,5.8,2.25,-0.4152,0.8327,5.6933,5.4129,0.2804,-0.2946558488,
Tank 11,Porites,R-13 H D,June 01,11,Drupella,Fed,Heated,211,249,197.3,-0.0478,1.9,2.05,-0.4922,0.8368,2.3662,2.2395,0.1267,-0.8733670087,
Tank 11,Porites,R-13 H V,June 06,11,Coralliophila,Fed,Heated,232,245,218,-0.0807,5.9,2.55,-0.5265,0.8356,5.8457,5.598,0.2477,-0.440940654,
Tank 11,Porites,R-14 H D,June 06,11,Drupella,Fed,Heated,245,249,235,-0.0807,2.5,2.2,-0.1347,0.8352,2.973,2.8553,0.1177,-0.1142395922,Very weird trend - something must've gotten stuck. Only including data before the curve wonked out. Delete?
Tank 11,Porites,R-14 H V,June 06,11,Coralliophila,Fed,Heated,233,247,215,-0.0807,5.8,2.2,-0.4397,0.834,5.9121,5.623,0.2891,-0.3067208578,
Tank 11,Porites,R-15 H D,June 01,11,Drupella,Fed,Heated,211,248,197.1,-0.0478,3.3,2.37,-0.4449,0.8323,3.6798,3.5078,0.172,-0.5725627907,
Tank 11,Porites,R-15 H V,June 06,11,Coralliophila,Fed,Heated,232,248,245,-0.0807,5.7,2.5,-0.4757,0.8385,6.0694,5.7898,0.2796,-0.3503576538,
Tank 6,Porites,R-2 H D,May 28,6,Drupella,Fed,Heated,248,249,230.8,-0.0311,2.8,2.5,-0.6334,0.8516,3.2491,2.9875,0.2616,-0.5732901376,
Tank 6,Porites,R-2 H V,May 28,6,Coralliophila,Fed,Heated,240.2,248,219,-0.0311,4.8,2.4,-0.5228,0.8516,5.2481,4.7387,0.5094,-0.2393828033,
Tank 6,Porites,R-3 H D,June 06,6,Drupella,Fed,Heated,218,247,207,-0.048,1.7,2.15,-0.2184,0.8312,2.2366,2.1382,0.0984,-0.4277317073,
Tank 6,Porites,R-3 H V,June 06,6,Coralliophila,Fed,Heated,237,247,224,-0.048,4.6,2.2,-0.4073,0.8251,4.7109,4.4784,0.2325,-0.381707957,
Tank 6,Porites,R-4 H D,June 06,6,Drupella,Fed,Heated,218,247,207,-0.048,1.3,1.9,-0.2456,0.8403,1.9066,1.8316,0.075,-0.6507626667,
Tank 6,Porites,R-4 H V,June 06,6,Coralliophila,Fed,Heated,237,246,217,-0.048,5,2.15,-0.5669,0.8311,5.1612,4.9123,0.2489,-0.5128541583,
Tank 6,Porites,R-5 H D,June 06,6,Drupella,Fed,Heated,220,244,206,-0.048,2.3,2.15,-0.485,0.8352,2.8081,2.6731,0.135,-0.789837037,
Tank 6,Porites,R-5 H V,June 06,6,Coralliophila,Fed,Heated,242,244,220,-0.048,4.4,2.3,-0.5333,0.8364,4.6572,4.4087,0.2485,-0.4765118712,
Tank 7,Porites,R-6 H D,June 06,7,Drupella,Fed,Heated,245,250,233,-0.0064,2.5,2.2,-0.416,0.8409,3.0531,2.9136,0.1395,-0.7340501792,
Tank 7,Porites,R-6 H V,June 06,7,Coralliophila,Fed,Heated,247,250,228,-0.0064,5.2,2.6,-0.5205,0.8336,5.4836,5.2245,0.2591,-0.4960439985,
Tank 7,Porites,R-7 H D,June 06,7,Drupella,Fed,Heated,245,250,233,-0.0064,3.3,2.4,-0.3845,0.8283,3.7888,3.6243,0.1645,-0.5746200608,
Tank 7,Porites,R-7 H V,June 06,7,Coralliophila,Fed,Heated,245,250,233.5,-0.0064,3.9,2.1,-0.3712,0.8365,4.2226,4.06,0.1626,-0.5608856089,
Tank 7,Porites,R-8 H D,June 06,7,Drupella,Fed,Heated,244,250,231.6,-0.0064,2.9,2.4,-0.4236,0.8298,3.2103,3.0612,0.1491,-0.6995305164,
Tank 7,Porites,R-8 H V,June 06,7,Coralliophila,Fed,Heated,244,245,231,-0.0064,4.8,2.3,-0.5796,0.8341,4.9386,4.6987,0.2399,-0.5853855773,
Tank 7,Porites,R-9 H D,June 06,7,Drupella,Fed,Heated,247,250,236,-0.0064,1.5,2.1,-0.3584,0.8385,2.1108,2.0199,0.0909,-0.9680968097,
Tank 7,Porites,R-9 H V,June 06,7,Coralliophila,Fed,Heated,244,246,230,-0.0064,5.5,2.05,-0.4301,0.8434,5.7603,5.4837,0.2766,-0.3768264642,
Tank 6,Pocillopora,V-1 H D,May 26,6,Drupella,Fed,Heated,158,244,140.3,-0.1467,2.2,2.2,-0.603,0.8517,2.773,2.5547,0.2183,-0.5100192396,
Tank 6,Pocillopora,V-1 H V,June 03,6,Coralliophila,Fed,Heated,207,244,191.1,-0.0367,6,2.5,-0.4998,0.8343,6.0393,5.7369,0.3024,-0.3736653439,
Tank 7,Pocillopora,V-10 H D,May 31,7,Drupella,Fed,Heated,203,246,229.8,-0.0337,1.8,2.1,-0.3878,0.8336,2.3175,2.1837,0.1338,-0.6510358744,
Tank 7,Pocillopora,V-10 H V,June 06,7,Coralliophila,Fed,Heated,242,243,230,-0.0064,6,2.4,-0.5161,0.8404,6.1916,5.8995,0.2921,-0.4240229374,
Tank 11,Pocillopora,V-11 H D,May 28,11,Drupella,Fed,Heated,238.5,248,219.5,-0.1481,2.2,2.03,-0.5062,0.8574,2.7776,2.5925,0.1851,-0.4797882226,These guys might have been dead
Tank 11,Pocillopora,V-11 H V,May 28,11,Coralliophila,Fed,Heated,263,243,242.6,-0.1481,7.9,2.6,-0.7154,0.852,7.8692,7.285,0.5842,-0.2359703869,These guys might have been dead
Tank 11,Pocillopora,V-12 H D,May 27,11,Drupella,Fed,Heated,235.9,247,218.6,-0.0882,1.9,2.1,-0.5257,0.849,2.3878,2.2513,0.1365,-0.7916666667,
Tank 11,Pocillopora,V-12 H V,May 28,11,Coralliophila,Fed,Heated,254.9,246,232.6,-0.1481,7.9,2.7,-0.4687,0.839,7.3505,7.0067,0.3438,-0.229399651,These guys might have been dead
Tank 11,Pocillopora,V-13 H D,May 27,11,Drupella,Fed,Heated,243.4,249,227.6,-0.0882,2.9,2.1,-0.5993,0.8428,3.2957,3.1106,0.1851,-0.687541329,
Tank 11,Pocillopora,V-13 H V,June 01,11,Coralliophila,Fed,Heated,210,248,194.1,-0.0478,7.2,2.6,-0.4611,0.833,7.1489,6.6389,0.51,-0.2009772549,
Tank 11,Pocillopora,V-14 H D,May 27,11,Drupella,Fed,Heated,237.5,248,219.4,-0.0882,1.9,2.1,-0.553,0.8548,2.3308,2.1751,0.1557,-0.7403365446,
Tank 11,Pocillopora,V-14 H V,May 25,11,Coralliophila,Fed,Heated,212.7,244,200.2,-0.1285,4.2,2.1,-0.5159,0.8503,4.5972,4.2931,0.3041,-0.3108372246,
Tank 11,Pocillopora,V-15 H D,May 28,11,Drupella,Fed,Heated,258.7,249,246,-0.1481,2.1,2,-0.3331,0.8512,2.4589,2.385,0.0739,-0.6233423545,These guys might have been dead
Tank 11,Pocillopora,V-15 H V,June 06,11,Coralliophila,Fed,Heated,245,246,237,-0.0807,3.9,2.1,-0.3726,0.8393,4.1518,4.0066,0.1452,-0.4945413223,
Tank 6,Pocillopora,V-2 H D,May 27,6,Drupella,Fed,Heated,199.1,247,160.4,-0.1581,1.7,1.95,-1.031,0.8606,2.2768,2.2298,0.047,-4.587368085,
Tank 6,Pocillopora,V-2 H V,May 27,6,Coralliophila,Fed,Heated,207.8,242,169.6,-0.1581,5.9,2.5,-1.4587,0.8404,5.7522,5.5468,0.2054,-1.532352483,
Tank 6,Pocillopora,V-3 H D,May 27,6,Drupella,Fed,Heated,164.2,244,141.4,-0.1581,2.2,2,-0.6181,0.8505,2.7258,2.5704,0.1554,-0.7222651223,
Tank 6,Pocillopora,V-3 H V,May 28,6,Coralliophila,Fed,Heated,230.5,247,218.4,-0.0311,4.4,2.25,-0.2447,0.8391,4.5026,4.3881,0.1145,-0.4607790393,
Tank 6,Pocillopora,V-4 H D,May 27,6,Drupella,Fed,Heated,159.3,246,141,-0.1581,3,2.3,-0.5994,0.851,3.5662,3.3327,0.2335,-0.464924197,
Tank 6,Pocillopora,V-4 H V,May 28,6,Coralliophila,Fed,Heated,212.4,244,201.8,-0.0311,5.3,2.48,-0.2936,0.8547,5.4244,5.2449,0.1795,-0.3568245125,Weird curve. Gets jitterry in the middle but slope evens out. Tested it before and after removing the jitters and the slope is almost identical so not too worried
Tank 7,Pocillopora,V-7 H D,May 27,7,Drupella,Fed,Heated,202.3,247,178.7,-0.0387,2.9,2.4,-0.7726,0.8436,3.3585,3.125,0.2335,-0.7763310493,
Tank 7,Pocillopora,V-7 H V,June 06,7,Coralliophila,Fed,Heated,237,246,222,-0.0064,6.7,2.21,-0.3714,0.8391,6.4585,6.206,0.2525,-0.3556039604,
Tank 7,Pocillopora,V-9 H D,May 29,7,Drupella,Fed,Heated,204,247,185,-0.0038,2.2,2.1,-0.5078,0.8362,2.783,2.6533,0.1297,-0.9598149576,
Tank 7,Pocillopora,V-9 H V,June 06,7,Coralliophila,Fed,Heated,241,246,228,-0.0064,6.8,2.5,-0.5682,0.8368,6.6867,6.3513,0.3354,-0.4120536673,
